game_id,date,home,away,home_score,away_score,spread_home,total
401867793,2026-05-02,MIN,TOR,73.0,66.0,,
401867795,2026-05-03,ATL,WAS,72.0,83.0,,
401866519,2026-05-03,CON,NYL,67.0,79.0,,
401866520,2026-05-03,DAL,LVA,101.0,84.0,,
401866521,2026-05-03,PDX,LAS,75.0,85.0,,
401856890,2026-05-08,NYL,CON,106.0,75.0,-9.5,160.5
401856891,2026-05-08,TOR,WAS,65.0,68.0,-1.5,160.5
401856892,2026-05-09,SEA,GSV,80.0,91.0,5.5,156.5
401856894,2026-05-09,LVA,PHO,66.0,99.0,-9.5,168.5
401856893,2026-05-09,IND,DAL,104.0,107.0,-5.0,179.0
401856899,2026-05-10,MIN,ATL,90.0,91.0,6.0,160.5
401856898,2026-05-10,LAS,LVA,78.0,105.0,1.5,177.5
401856897,2026-05-10,WAS,NYL,93.0,98.0,5.0,165.0
401856896,2026-05-10,CON,SEA,82.0,89.0,-2.5,164.0
401856895,2026-05-10,PDX,CHI,83.0,98.0,5.0,163.5
401856900,2026-05-11,GSV,PHO,95.0,79.0,-2.5,157.5
401856902,2026-05-13,PHO,MIN,84.0,88.0,-5.0,167.5
401856903,2026-05-13,PDX,NYL,98.0,96.0,11.0,175.0
401856901,2026-05-13,DAL,ATL,72.0,77.0,1.5,181.0
401856904,2026-05-13,TOR,SEA,86.0,73.0,-3.0,168.0
401856905,2026-05-14,CON,LVA,69.0,98.0,14.5,172.0
401856907,2026-05-14,LAS,IND,78.0,87.0,1.0,186.0
401856906,2026-05-14,GSV,CHI,63.0,69.0,-6.0,166.5
401856910,2026-05-15,CON,LVA,94.0,101.0,15.0,172.5
401856911,2026-05-15,IND,WAS,102.0,104.0,-8.5,170.0
401856908,2026-05-15,DAL,MIN,86.0,90.0,-3.5,178.5
401856909,2026-05-15,PDX,NYL,82.0,100.0,,
401856912,2026-05-16,LAS,TOR,99.0,95.0,-8.0,170.0
401856913,2026-05-16,PHO,CHI,91.0,83.0,-4.0,165.0
401856916,2026-05-17,IND,SEA,89.0,78.0,-12.0,176.5
401856914,2026-05-17,MIN,CHI,79.0,86.0,-5.5,166.0
401856915,2026-05-17,ATL,LVA,84.0,85.0,3.5,171.5
401856917,2026-05-17,LAS,TOR,96.0,106.0,-7.5,174.5
401856919,2026-05-19,PDX,CON,83.0,82.0,-3.5,174.0
401856918,2026-05-19,DAL,WAS,92.0,69.0,-4.0,170.0
401856921,2026-05-20,IND,PDX,90.0,73.0,-10.0,175.5
401856920,2026-05-20,PHO,TOR,90.0,98.0,-7.5,170.5
401856923,2026-05-21,SEA,CON,78.0,80.0,-2.0,165.5
401856922,2026-05-21,CHI,DAL,89.0,99.0,3.0,170.0
401856925,2026-05-22,MIN,TOR,100.0,72.0,-5.5,172.5
401856926,2026-05-22,PHO,LAS,88.0,97.0,-2.5,178.5
401856924,2026-05-22,NYL,GSV,70.0,87.0,-5.5,168.5
401856927,2026-05-22,ATL,DAL,86.0,69.0,-5.5,173.5
401856928,2026-05-22,IND,GSV,90.0,82.0,-5.0,167.5
401856931,2026-05-23,TOR,PDX,80.0,99.0,-5.5,172.5
401856929,2026-05-23,SEA,CON,77.0,59.0,,
401856930,2026-05-23,CHI,MIN,75.0,85.0,1.5,168.5
401856935,2026-05-24,SEA,WAS,97.0,85.0,5.0,158.0
401856934,2026-05-24,NYL,DAL,76.0,91.0,-6.0,180.0
401856933,2026-05-24,ATL,PHO,82.0,80.0,-6.0,168.5
401856932,2026-05-24,LVA,LAS,95.0,101.0,-9.5,181.5
401856936,2026-05-26,NYL,PDX,74.0,81.0,-10.5,172.5
401856937,2026-05-26,GSV,CON,97.0,70.0,-14.0,158.0
401856938,2026-05-27,NYL,PHO,84.0,74.0,-4.5,169.5
401856942,2026-05-28,SEA,WAS,64.0,78.0,3.5,160.5
401856941,2026-05-28,PDX,CON,71.0,61.0,-7.5,166.5
401856940,2026-05-28,MIN,ATL,96.0,81.0,2.5,166.5
401856939,2026-05-28,CHI,TOR,104.0,111.0,-4.5,173.5
401856945,2026-05-29,NYL,PHO,75.0,68.0,-5.5,170.5
401856946,2026-05-29,WAS,LAS,87.0,92.0,-2.5,165.0
401856943,2026-05-29,DAL,LVA,95.0,87.0,5.5,178.5
401856944,2026-05-29,GSV,IND,90.0,88.0,-1.5,167.5
401856947,2026-05-29,CHI,MIN,58.0,79.0,4.5,172.5
401856950,2026-05-30,CON,LAS,84.0,81.0,3.5,168.5
401856948,2026-05-30,PDX,ATL,66.0,86.0,9.0,163.5
401856949,2026-05-30,TOR,SEA,93.0,72.0,-6.5,171.5
401856951,2026-05-31,PDX,IND,100.0,84.0,11.0,174.0
401856952,2026-05-31,GSV,LVA,81.0,91.0,2.0,168.0
401856955,2026-06-02,ATL,CON,91.0,75.0,-14.0,161.0
401856956,2026-06-02,WAS,CHI,90.0,72.0,2.0,161.5
401856953,2026-06-02,DAL,SEA,79.0,56.0,-13.5,166.5
401856954,2026-06-02,PHO,MIN,77.0,111.0,2.0,167.0
401856959,2026-06-03,NYL,TOR,97.0,82.0,-8.5,173.5
401856957,2026-06-03,GSV,PDX,95.0,77.0,-9.0,160.5
401856958,2026-06-03,LAS,LVA,69.0,79.0,7.5,177.0
401856961,2026-06-04,IND,ATL,83.0,71.0,1.0,173.5
401856960,2026-06-04,SEA,PHO,68.0,72.0,7.0,160.0
401856962,2026-06-05,MIN,GSV,87.0,84.0,-3.5,168.5
401856963,2026-06-05,CHI,CON,85.0,80.0,-6.0,163.5
401856964,2026-06-06,LAS,DAL,96.0,104.0,2.5,178.0
401856966,2026-06-06,MIN,SEA,88.0,68.0,-13.5,162.0
401856965,2026-06-06,PDX,PHO,72.0,78.0,-4.5,159.5
401856967,2026-06-06,LVA,GSV,84.0,79.0,-3.0,166.5
401856968,2026-06-06,ATL,WAS,109.0,77.0,-9.0,160.5
401856970,2026-06-07,TOR,CHI,85.0,68.0,-3.5,175.5
401856969,2026-06-07,NYL,IND,83.0,75.0,-3.0,175.0
401856971,2026-06-07,LAS,PDX,89.0,72.0,-7.5,175.0
401856972,2026-06-08,CON,NYL,80.0,89.0,12.0,163.0
401856973,2026-06-08,WAS,IND,76.0,78.0,5.5,171.5
401856975,2026-06-09,CHI,ATL,75.0,82.0,9.5,165.0
401856974,2026-06-09,LVA,SEA,101.0,91.0,-15.5,163.0
401856978,2026-06-10,TOR,CON,106.0,102.0,-8.5,167.0
401856976,2026-06-10,MIN,DAL,100.0,76.0,-4.5,171.0
401856977,2026-06-10,GSV,PHO,87.0,81.0,-8.0,162.5
401856979,2026-06-11,SEA,LAS,83.0,88.0,8.0,170.0
401856980,2026-06-11,IND,CHI,114.0,106.0,-9.5,172.0
401856981,2026-06-11,ATL,NYL,90.0,104.0,-3.5,165.0
401856982,2026-06-12,DAL,PHO,85.0,70.0,-6.5,169.0
401856984,2026-06-12,WAS,TOR,86.0,85.0,1.0,169.0
401856983,2026-06-12,PDX,LVA,89.0,105.0,11.0,171.0
401856985,2026-06-13,SEA,GSV,72.0,76.0,9.5,157.5
401856986,2026-06-13,CON,IND,75.0,85.0,8.5,170.5
401856990,2026-06-14,NYL,WAS,86.0,64.0,-14.0,166.5
401856989,2026-06-14,PHO,LAS,102.0,111.0,1.0,172.0
401856991,2026-06-14,TOR,ATL,77.0,102.0,6.5,170.5
401856988,2026-06-14,PDX,DAL,84.0,83.0,3.5,167.5
401856987,2026-06-14,LVA,MIN,100.0,97.0,-3.5,174.5
401856993,2026-06-16,MIN,PDX,107.0,74.0,-14.5,169.0
401856994,2026-06-16,GSV,LAS,78.0,58.0,-5.5,172.5
401856992,2026-06-16,DAL,LVA,96.0,66.0,2.5,178.0
401856995,2026-06-16,IND,TOR,113.0,91.0,-8.5,179.5
401856996,2026-06-17,CON,WAS,81.0,88.0,-1.5,159.5
401856997,2026-06-18,CHI,NYL,95.0,96.0,10.0,169.5
401857001,2026-06-18,PDX,SEA,94.0,89.0,-4.0,162.5
