team,gpf,ogpf,dgpf,gou,srs,w,l,rank,ogpf_rank,dgpf_rank,gou_rank,srs_rank
ATL,7.950944914985774,5.177058280187791,2.773886634797983,176.0625496304334,5.714879196019908,29,15,1,3,3,6,3
MIN,7.681397640034666,5.030718658762326,2.65067898127234,176.0394176625336,6.859169315226843,33,10,2,4,4,7,2
LVA,6.797915044663003,5.452402673993651,1.3455123706693515,177.76626828836788,4.334432001269665,29,15,3,2,6,2,5
NYL,5.5547314631492855,3.525268141530892,2.0294633216183935,175.1551828049561,3.501418925280743,28,17,4,5,5,10,7
GSV,5.474199309497347,-5.935017501910096,11.409216811407443,156.31514367172605,7.284869162865818,31,11,5,14,1,15,1
IND,5.410473045549828,8.79334958031852,-3.3828765347686907,185.8356041001308,5.3221768775743765,27,15,6,1,12,1,4
DAL,3.770553465628367,2.6837201691832453,1.0868332964451217,175.2562648577817,4.216885134393543,27,17,7,6,7,9,6
WAS,1.514238736908521,-3.269381154753827,4.783619891662348,165.60637693862742,1.1141763023178348,27,16,8,11,2,14,8
PHO,-2.587903955258218,-1.7284741819490883,-0.8594297733091298,172.79033357640364,-2.781737891602934,16,27,9,10,8,11,9
LAS,-3.6354326349090367,-0.4190169821006634,-3.216415652808373,176.4567766557513,-3.959943013734973,17,26,10,7,11,3,11
CHI,-4.7490300597730615,-0.9897997800790882,-3.7592302796939734,176.42880848465848,-3.8728427522762994,15,27,11,8,13,4,10
PDX,-5.219274878997318,-1.3371224464493594,-3.882152432547959,176.2044079711422,-5.090771577340031,16,28,12,9,14,5,12
SEA,-7.487799899463115,-4.495648819887759,-2.9921510795753568,172.1558802447312,-6.306321121246523,8,35,13,13,10,12,13
TOR,-10.061709781082612,-4.004588086475796,-6.057121694606816,175.71191159317462,-7.3356120416758035,11,32,14,12,15,8,14
CON,-10.413302410933415,-8.48346855037154,-1.929833860561875,167.10574329523394,-9.000778517072169,10,33,15,15,9,13,15
